Designator,Mid X,Mid Y,Layer,Rotation
BT1,16.7510mm,47.6225mm,Top,270
C1,50.6730mm,70.7500mm,Top,360
C10,52.0000mm,27.0000mm,Top,90
C11,37.0000mm,10.1730mm,Top,90
C12,15.5000mm,4.5500mm,Top,270
C13,44.5000mm,10.3270mm,Top,270
C14,38.7500mm,33.2500mm,Top,180
C15,47.5000mm,34.0770mm,Top,270
C16,50.0000mm,38.7500mm,Top,270
C17,42.5000mm,38.7500mm,Top,270
C18,38.7500mm,38.2500mm,Top,180
C19,37.0000mm,15.2500mm,Top,270
C2,45.7500mm,70.7500mm,Top,180
C20,38.7500mm,41.0000mm,Top,360
C3,40.2500mm,70.7500mm,Top,180
C4,28.7500mm,60.0000mm,Top,270
C5,34.0000mm,74.0000mm,Top,0
C6,34.0000mm,77.2500mm,Top,0
C7,39.9230mm,64.5000mm,Top,180
C8,52.0000mm,10.2500mm,Top,270
C9,42.2500mm,24.0000mm,Top,180
D1,42.5000mm,77.7500mm,Top,360
D2,36.5000mm,24.2500mm,Top,180
D3,48.2500mm,24.2500mm,Top,0
D4,34.5000mm,10.0000mm,Top,270
D5,35.0000mm,37.0000mm,Top,270
J1,33.8500mm,86.3750mm,Top,180
L1,50.7500mm,74.0000mm,Top,360
L2,50.7500mm,77.2500mm,Top,360
P1,39.7300mm,74.0000mm,Top,360
P2,52.0000mm,20.7300mm,Top,90
P3,30.7300mm,24.7700mm,Bottom,90
P4,7.0200mm,2.7500mm,Top,180
P5,33.5200mm,43.0000mm,Top,180
P6,48.2300mm,43.0000mm,Top,360
Q1,50.0000mm,4.2500mm,Top,360
Q2,38.2500mm,20.7500mm,Top,180
Q3,46.5000mm,20.7500mm,Top,180
Q4,26.7500mm,4.2500mm,Top,360
Q5,42.2900mm,4.2500mm,Top,360
Q6,34.5000mm,5.2500mm,Top,180
Q7,46.5000mm,28.7500mm,Top,180
Q8,38.2500mm,27.7500mm,Top,360
R1,39.7500mm,67.5000mm,Top,360
R10,21.2500mm,4.0000mm,Top,270
R11,12.2500mm,4.0500mm,Top,270
R12,47.0000mm,10.2500mm,Top,270
R13,42.0000mm,10.2500mm,Top,90
R14,47.0000mm,15.3000mm,Top,270
R15,32.0000mm,35.3000mm,Top,90
R16,47.5000mm,38.7500mm,Top,90
R17,50.0000mm,34.2500mm,Top,270
R18,32.0000mm,39.2500mm,Top,90
R19,38.7500mm,35.7500mm,Top,360
R2,52.0000mm,15.3000mm,Top,90
R20,45.0000mm,34.2500mm,Top,90
R21,34.5000mm,15.2500mm,Top,270
R22,45.0000mm,38.7500mm,Top,270
R23,42.5000mm,34.2500mm,Top,270
R24,38.7500mm,43.5000mm,Top,180
R25,43.0000mm,43.5000mm,Top,360
R3,49.5000mm,10.2500mm,Top,270
R4,44.5000mm,15.2500mm,Top,90
R5,42.0000mm,15.2500mm,Top,90
R6,39.5000mm,15.2500mm,Top,270
R7,18.5000mm,4.0500mm,Top,270
R8,49.5000mm,15.2500mm,Top,270
R9,39.5000mm,10.2500mm,Top,270
U1,48.2900mm,67.5000mm,Top,180
U2,12.8750mm,69.0000mm,Top,90
U3,12.7500mm,38.0000mm,Top,90
VR1,33.5000mm,69.3050mm,Top,360
